ngành,Thường & Gấp,Premium & Gấp,Diff,Diff %,Count Thường,Count Premium
Bán Hàng Kỹ Thuật,19941250.0,14166666.666666666,-5774583.333333334,-28.957980735075957,34.0,3.0
Bán lẻ / Bán sỉ,17255102.040816326,13416666.666666666,-3838435.3741496596,-22.245219791050662,49.0,6.0
CNTT - Phần cứng / Mạng,19071428.57142857,13000000.0,-6071428.571428571,-31.835205992509362,7.0,2.0
CNTT - Phần mềm,21545536.363636363,1400.0,-21544136.363636363,-99.99350213438008,11.0,1.0
Công nghệ thực phẩm / Dinh dưỡng,13800000.0,13500000.0,-300000.0,-2.1739130434782608,5.0,1.0
Cơ khí / Ô tô / Tự động hóa,17410113.636363637,17392857.14285714,-17256.49350649491,-0.09911763855723567,99.0,14.0
Dịch vụ khách hàng,21375000.0,16375000.0,-5000000.0,-23.391812865497073,28.0,4.0
Hành chính / Thư ký,15257575.757575758,11000000.0,-4257575.757575758,-27.904667328699105,66.0,2.0
Kiến trúc,20370370.37037037,18375031.25,-1995339.1203703694,-9.795301136363632,81.0,8.0
Kế toán / Kiểm toán,17664224.137931034,14830000.0,-2834224.137931034,-16.044996461774964,116.0,25.0
Luật / Pháp lý,15431818.181818182,9375000.0,-6056818.181818182,-39.24889543446245,22.0,4.0
Mới tốt nghiệp / Thực tập,16928571.42857143,12000000.0,-4928571.428571429,-29.11392405063291,7.0,1.0
Ngân hàng,25600050.0,22500383.333333332,-3099666.666666668,-12.108049268132945,38.0,3.0
Nhà hàng / Khách sạn,12125000.0,10500000.0,-1625000.0,-13.402061855670103,16.0,1.0
Quản lý điều hành,26090909.09090909,25000000.0,-1090909.09090909,-4.181184668989543,33.0,1.0
Quảng cáo / Đối ngoại / Truyền Thông,19875150.0,10500000.0,-9375150.0,-47.17021003615067,16.0,1.0
Sản xuất / Vận hành sản xuất,17042205.46875,16500000.0,-542205.46875,-3.181545192282964,64.0,3.0
Thu mua / Vật tư,17125000.0,16000000.0,-1125000.0,-6.569343065693431,16.0,1.0
Thực phẩm & Đồ uống,14170689.655172413,9916666.666666666,-4254022.988505747,-30.01987265279637,29.0,3.0
Tiếp thị / Marketing,20384615.384615384,20200000.0,-184615.38461538404,-0.9056603773584878,39.0,10.0
Trắc địa / Địa Chất,19875000.0,17000000.0,-2875000.0,-14.465408805031446,4.0,1.0
Tài chính / Đầu tư,17858161.627906978,17092105.263157893,-766056.3647490852,-4.289670911881364,86.0,19.0
Tư vấn,19304347.826086957,16700000.0,-2604347.826086957,-13.490990990990992,23.0,5.0
Tổ chức sự kiện,15833333.333333334,10500000.0,-5333333.333333334,-33.684210526315795,3.0,1.0
Vận chuyển / Giao nhận /  Kho vận,14380994.047619049,12437500.0,-1943494.0476190485,-13.514323427043056,42.0,4.0
Xây dựng,19267311.320754718,18404773.80952381,-862537.5112309083,-4.476688505581909,159.0,21.0
Y tế / Chăm sóc sức khỏe / Thẩm mỹ / Làm đẹp,27952380.95238095,18500000.0,-9452380.952380951,-33.8160136286201,21.0,1.0
